date,open,high,low,close,volume
2026-04-30,4.4,5.0,4.3,4.5,142169.315776
2026-05-01,4.53,5.31,4.53,4.66,148153.706657
2026-05-04,4.45,4.8,4.35,4.47,129902.067514
2026-05-05,4.6,4.9,4.45,4.7,104264.330287
2026-05-06,4.8,6.6105,4.7565,6.25,439848.141201
2026-05-07,6.3,7.16,6.25,6.79,149337.85628
2026-05-08,7.1,7.1,5.9,6.21,171585.548253
2026-05-11,6.21,6.42,5.7101,6.06,143250.108761
2026-05-12,5.9,6.24,5.665,6.22,152815.752837
2026-05-13,6.2,6.39,5.59,6.0,167294.258641
2026-05-14,6.1,6.9,5.86,6.3,135813.242023
2026-05-15,6.5,6.64,5.83,6.05,95331.511929
2026-05-18,6.27,6.3499,5.55,5.77,97449.692859
2026-05-19,5.8,5.8867,5.28,5.49,69983.54236
2026-05-20,5.48,5.76,5.21,5.31,62957.462541
2026-05-21,5.18,5.5,5.01,5.4,78566.866996
2026-05-22,5.34,6.22,5.34,5.9,80426.389376
