date,open,high,low,close,volume
2026-05-14,350.0,386.34,300.0,311.07,33497870.148638
2026-05-15,298.49,306.7799,275.0,279.72,17119206.132923
2026-05-18,291.55,303.66,272.24,296.65,10158354.830102
2026-05-19,292.17,333.99,286.15,303.63,10379536.712922
2026-05-20,317.525,338.325,284.25,290.69,12851706.618918
2026-05-21,293.7,294.0,275.42,281.86,5448110.954553
2026-05-22,285.0,285.0,250.27,256.78,11783761.389283
2026-05-26,260.0,262.29,236.1,241.71,8180275.47561
2026-05-27,243.86,269.39,243.03,266.9,6522988.92016
2026-05-28,260.95,268.78,241.53,242.59,5692279.143933
2026-05-29,247.12,251.35,232.5601,236.99,4350231.503027
